Area,Category,Item,Description,Date,Orders,Type of Order
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,08-03-2022,92,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",17-04-2022,108,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,11-08-2023,17,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,28-04-2022,192,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",10-06-2022,124,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",03-08-2023,190,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,23-09-2022,67,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",26-07-2023,109,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,17-08-2022,89,Online
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,12-06-2023,112,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,15-10-2023,37,Online
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,18-10-2023,73,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,01-07-2022,72,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,22-06-2022,77,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",08-06-2022,52,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",24-11-2022,9,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,23-04-2022,9,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,10-10-2023,111,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,31-03-2022,81,Dining
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",09-01-2023,68,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,10-12-2022,71,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,18-07-2022,155,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,15-07-2023,98,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,27-04-2023,166,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,06-10-2022,176,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,06-07-2022,178,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,23-04-2022,17,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,15-12-2021,44,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,05-09-2023,199,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,23-06-2022,168,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,23-01-2022,177,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,02-09-2023,142,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,19-07-2023,166,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,22-12-2021,117,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,03-11-2021,109,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",28-03-2023,73,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",22-09-2022,193,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,16-08-2022,194,Takeaway
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,20-11-2021,135,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,21-03-2023,32,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,18-06-2022,190,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,08-07-2023,87,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,11-07-2022,109,Online
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,26-07-2022,5,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,06-03-2023,184,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,08-11-2021,167,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",05-04-2023,17,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,15-03-2022,187,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,31-07-2022,136,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,03-12-2022,28,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",12-02-2023,162,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",11-04-2022,114,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,08-05-2022,108,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,21-01-2023,181,Takeaway
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,24-11-2022,82,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-09-2023,1,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",16-12-2021,169,Dining
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",04-11-2021,169,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",26-10-2022,105,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,12-08-2023,77,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,03-02-2023,151,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,14-03-2023,184,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,23-10-2023,181,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",05-01-2023,35,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",18-09-2022,124,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,28-01-2023,157,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",03-07-2023,83,Dining
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",11-03-2023,153,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,08-09-2023,27,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",30-01-2023,114,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,21-08-2022,62,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,31-10-2023,181,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,24-02-2022,194,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,27-09-2022,1,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,14-06-2023,82,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,13-11-2022,86,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,01-11-2023,190,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,18-06-2022,147,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,25-02-2023,157,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,11-10-2023,101,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",10-06-2022,8,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",10-06-2022,180,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,15-01-2022,7,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,07-08-2023,151,Dining
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",28-12-2021,54,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",14-11-2021,180,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",06-04-2022,70,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,01-03-2023,109,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,06-08-2023,126,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,06-01-2023,198,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,02-11-2022,62,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,26-08-2023,68,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",13-03-2023,72,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,14-04-2023,114,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,08-01-2023,122,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,29-07-2023,69,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,24-02-2022,160,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,04-01-2023,118,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,21-04-2022,157,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,23-02-2023,64,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",11-11-2022,133,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,12-12-2021,108,Takeaway
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,09-07-2023,185,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,29-09-2023,159,Takeaway
